Area Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
E07000105,Ashford,17464,17739,19319,20758,20929,23188,22930,21155,21056,21632,23179,22982,24973,24353,23757,23735,#
E07000106,Canterbury,15757,16448,17814,17681,20286,21605,22171,21717,21822,23337,23730,23525,26561,25737,25688,25145,25404
E07000107,Dartford,18864,17634,19959,21205,21035,20563,23761,27500,27819,29693,30377,28505,29014,28807,29103,28460,29328
E07000108,Dover,17923,18477,18847,20772,20770,20470,25848,24602,22220,24430,26964,26348,26450,26553,26114,25136,#
E07000109,Gravesham,18063,18898,17854,19733,20823,22045,24328,22478,26266,29294,26039,27419,30934,27878,29121,29534,29968
E07000110,Maidstone,16866,18000,18706,19697,20147,20874,20689,21547,21445,24491,24240,24838,24662,24671,23216,23412,27049
E07000111,Sevenoaks,18016,19351,20490,20504,22242,23714,23264,23996,27582,26811,27837,24792,25779,25052,26876,28820,25220
E07000112,Shepway,16081,16312,17018,17570,17720,18454,20353,18887,19246,23303,22456,24357,24293,26566,25254,24499,25512
E07000113,Swale,17669,17699,17656,18503,22494,22646,21926,23433,24894,24954,25817,26126,25182,25497,24496,25174,26671
E07000114,Thanet,15078,16760,16150,17374,17307,18115,18183,19130,20628,21194,20111,19111,20906,20355,21166,20609,21073
E07000115,Tonbridge and Malling,19201,20768,19728,20978,23233,23387,23411,22447,23687,25877,26952,26980,25687,28276,26769,28216,28639
E07000116,Tunbridge Wells,17177,19554,19640,21207,21785,23274,23126,22979,24728,24533,26437,25230,25920,28728,28068,26673,27393
E07000117,Burnley,16872,17093,17499,18031,18605,18291,19130,20664,20982,21817,20063,19921,20867,21997,22339,21856,21374
E07000118,Chorley,16444,16122,16826,17749,18941,18768,18748,20205,23325,23084,23974,24030,23067,24147,23285,24222,23499
E07000119,Fylde,21004,22982,23562,23572,24443,25364,25848,26761,27688,30343,31429,29602,29887,23177,24072,30823,33954
E07000120,Hyndburn,13936,14092,13959,16966,15927,15923,18887,18348,18123,20599,21101,21604,20985,19977,22190,22338,22265
E07000121,Lancaster,16538,18456,19347,20296,20942,21160,21932,21993,23182,23159,23692,24061,25165,24454,25926,25089,25967
E07000122,Pendle,15160,16495,17960,16723,16497,16126,18936,19427,19414,21632,19916,20259,22360,22316,22588,23599,24054
E07000123,Preston,17496,18618,18572,16955,17794,19639,20601,21058,21026,23267,24684,26130,22476,23067,23815,23452,24631
E07000124,Ribble Valley,17184,15543,18775,20761,17978,18328,22529,21132,23782,23804,22557,22628,26661,24900,24718,28121,30004
E07000125,Rossendale,13609,14089,14279,14822,15613,15901,16369,16814,17070,17275,19505,18507,20126,21746,20808,19870,22671
E07000126,South Ribble,17478,18425,18854,21006,20497,20060,21345,21982,24015,24722,21047,21979,22530,23081,23495,22930,23918
E07000127,West Lancashire,16864,18216,18223,18656,18984,20501,21836,20914,22100,22365,22630,23890,23108,23585,23262,23029,26167
E07000128,Wyre,15194,14230,16113,15696,17534,18329,18740,18626,18918,23322,21445,18476,19220,21129,20971,20886,23026
E07000129,Blaby,15849,19186,19623,20341,20952,23285,23493,23392,24156,25588,27160,26609,26633,24548,23529,25286,25878
E07000130,Charnwood,17165,18290,19916,21104,21418,21958,22857,23953,24006,25337,26429,26048,26336,25905,26398,26710,26155
E07000131,Harborough,17703,16884,17976,19448,18823,20080,21943,21252,22488,24223,25598,25824,24513,23677,25253,26741,#
E07000132,Hinckley and Bosworth,14977,15878,17530,19374,19661,20181,21609,21661,22753,24057,23947,24124,23400,25390,26560,26038,25126
E07000133,Melton,15240,18416,18856,17432,19258,21181,21623,22065,22594,23123,21636,21740,21892,23097,22547,22944,23341
E07000134,North West Leicestershire,18086,17863,18082,18278,18509,20773,19915,21672,21791,22879,23967,23555,24576,25366,25148,24189,24446
E07000135,Oadby and Wigston,16097,16053,15794,18065,19461,20959,21169,22474,20522,20120,20724,20637,19929,21356,21693,21889,21874
E07000136,Boston,15734,17500,16197,17020,17766,16777,18397,18470,19325,19799,21036,20671,21376,21430,21468,21538,20794
E07000137,East Lindsey,14496,15078,15802,16138,16119,16606,17094,17548,17661,19672,21419,20513,20532,21216,23102,23603,#
E07000138,Lincoln,16887,18400,18567,19982,19843,19932,20099,21419,20539,21280,23229,23809,23939,24177,24292,25477,23617
E07000139,North Kesteven,14697,15686,15827,16052,15547,16563,17580,18231,20659,19545,20005,21852,20109,21427,21849,23464,23235
E07000140,South Holland,15597,16342,17131,18595,19019,18299,19012,19717,20089,21755,21331,23322,21963,21901,22837,22025,22232
E07000141,South Kesteven,15299,16166,16711,17491,17199,18409,17792,19091,19952,21003,23339,22727,22137,22116,23260,21257,22542
E07000142,West Lindsey,14889,17218,15869,17720,17465,18934,20107,20692,18291,20427,21554,23302,22595,23149,23704,22989,23193
E07000143,Breckland,15731,15892,17332,17642,16636,17712,19229,19727,20215,20680,21059,21137,21877,24490,22177,22299,21761
E07000144,Broadland,15477,16361,17277,17254,18120,19108,18759,20501,21077,22946,22377,22570,22231,23833,24607,24614,25420
E07000145,Great Yarmouth,18369,18771,19014,20201,20304,20719,21600,22451,24183,23971,24559,23708,25196,26086,25563,26265,26968
E07000146,King`s Lynn and West Norfolk,16289,17951,17882,18812,19264,18788,19731,20895,22067,22981,22465,22051,24483,24794,23686,26452,25836
E07000147,North Norfolk,14591,14922,15837,16841,17658,18856,18283,17271,18157,19578,20027,20820,21343,20984,20952,23005,25058
E07000148,Norwich,17319,18377,18853,18539,19502,19313,20606,21659,22163,22871,23811,23949,25638,24871,24748,23969,25273
E07000149,South Norfolk,18419,20779,20908,19870,20145,21962,22369,22753,20895,24048,25379,24224,24823,24934,25403,25198,25964
E07000150,Corby,16983,17383,19043,19813,20029,20455,19013,20410,23115,21831,22608,23372,23616,23237,22808,24222,24784
E07000151,Daventry,17931,18447,18529,19545,20449,21705,23064,24264,24167,24692,25217,25742,24337,25952,27959,27414,26870
E07000152,East Northamptonshire,18451,19224,19075,18231,18158,17399,20712,20760,22764,22073,21478,20884,21970,23715,26198,23842,23533
