Local authority code ,Local authority name,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E08000032,Bradford,39793,41875,42750,44062,46000,47500,52250,61487,78373,92750,107500,121050,123499,117061,119500,119375,114750,116375,119737,123237
E08000033,Calderdale,39625,41812,43250,43125,44625,48362,52125,63236,81662,97625,110112,121000,123225,115581,120500,118250,114625,118000,120500,124112
E08000034,Kirklees,41937,44362,45112,46375,48737,50737,56237,69600,89625,105750,116987,125249,127875,121987,124300,121641,120000,121750,124125,128625
E08000035,Leeds,46875,49221,51625,54487,58498,64375,74611,91500,113350,127868,133750,143498,144250,135375,143500,140250,140000,139000,144093,150237
E08000036,Wakefield,41998,44128,45256,45725,47475,50250,56862,73375,91600,106750,115625,123112,123875,119125,120375,116375,113750,116500,120250,123000
E06000015,Derby,39000,39500,41656,43987,46750,51625,61487,76475,97487,114000,119123,125250,126050,121250,122875,119375,121112,124737,128273,134500
E06000016,Leicester,37500,38125,39943,41375,44250,49462,62582,80750,101250,114750,117687,122975,125000,120725,118625,120000,120000,120500,124500,127625
E06000018,Nottingham,38375,40237,41456,42750,44975,47487,57237,76975,90736,98862,102750,106500,103250,98750,99493,95781,96000,95562,103625,110250
E06000017,Rutland,67986,71493,75875,80625,88082,101125,122862,149124,175562,191250,200125,210250,223500,207217,214918,213500,210250,215437,219250,228625
E07000032,Amber Valley,40225,42750,43868,45999,48612,54875,63737,81975,100125,115487,120856,129750,135250,126750,130250,127243,125725,126375,131000,140562
E07000033,Bolsover,32875,34250,36237,37250,38750,40362,42093,56112,76250,89987,96500,105680,109237,100487,100250,93125,92462,92100,100000,104493
E07000034,Chesterfield,39987,40481,41737,43375,45237,48987,55612,68181,89612,104993,116000,124300,124250,117430,120875,119750,115875,120350,123750,126875
E07000035,Derbyshire Dales,61498,67500,71100,75237,81112,94612,111125,138493,166312,192362,199487,214456,208875,190000,210493,208250,198612,207000,217437,222125
E07000036,Erewash,39830,41875,43962,45237,48362,53250,65375,82705,102112,114431,117737,123497,123798,118120,117875,117556,116375,118625,125236,131500
E07000037,High Peak,49148,52500,55862,58162,59987,68112,80737,98606,123250,135750,140987,152375,154225,148562,145250,142500,149875,146250,149500,155868
E07000038,North East Derbyshire,48112,50000,50750,54050,56237,59737,68287,85237,107493,125493,135975,143800,142875,139737,138875,140032,139750,141287,148875,155375
E07000039,South Derbyshire,42868,46031,47625,52112,58350,63181,74362,97248,119112,129993,137525,149000,149925,141875,145175,140625,142250,143937,149500,156687
E07000129,Blaby,50862,53625,57112,60156,66862,74862,87250,113337,132431,144181,149375,157312,157681,145562,148062,150000,148750,150562,158000,167250
E07000130,Charnwood,48387,50375,53500,56500,60725,69487,83362,106375,129181,140750,145612,153500,155725,141500,147162,150250,150000,150500,156987,164937
E07000131,Harborough,56812,58737,67368,71306,77612,86800,105337,140125,159487,170750,177175,188562,193618,177500,195000,187937,185468,188737,202500,217062
E07000132,Hinckley and Bosworth,47625,49862,53312,57237,62112,69406,81875,102737,121725,135931,142750,150250,151375,142750,147062,144387,142625,142000,150000,158687
E07000133,Melton,51125,53812,56100,58750,66993,73750,89306,112962,134725,145950,153000,158875,160868,147875,153000,153875,156437,157875,163250,171625
E07000134,North West Leicestershire,45968,48487,52150,55868,59806,67112,79150,101450,124500,136375,140000,149500,151656,143750,142562,143768,140500,142125,150000,156418
E07000135,Oadby and Wigston,49718,51968,55481,58749,64112,71100,82550,106375,130062,141062,143125,153475,153500,136552,145606,147375,142531,144075,150250,161625
E07000136,Boston,38562,40781,42750,43837,46525,51487,63000,80362,98112,109687,115931,123250,123737,116805,118623,119687,122623,123312,127125,133687
E07000137,East Lindsey,42712,45000,48125,49750,53987,59612,72237,90550,116625,129487,134000,142736,142125,131875,136312,133750,129187,130750,135862,143750
E07000138,Lincoln,36875,37625,39112,40250,43250,47125,57737,76413,94375,106250,112425,119161,119875,113939,114500,111875,114750,116743,123356,128250
E07000139,North Kesteven,47375,48250,50250,52000,56975,62612,76837,104612,127625,136806,140625,149987,154250,142950,146562,142118,140125,140687,150243,158375
E07000140,South Holland,43250,45612,48250,50337,57000,67500,78625,98287,120948,132112,136187,145593,145503,132431,135750,135750,134266,136375,143362,152743
E07000141,South Kesteven,47998,51612,54625,58187,64768,72600,85750,109306,131000,146000,149500,160750,163750,148000,155000,154218,151312,152000,162625,171937
E07000142,West Lindsey,45000,47687,49993,50500,53237,56306,64175,81873,108750,121937,126625,136875,139500,135187,141625,140000,133487,134625,145750,152743
E07000150,Corby,33731,36125,37250,38168,41118,43861,50081,60736,78497,89687,96687,114625,122625,110750,108812,105041,106125,113062,119375,126793
E07000151,Daventry,53500,58373,66375,73050,82248,96000,113174,135931,151031,163248,168437,182000,186375,175183,185875,179437,177875,183750,193250,206250
E07000152,East Northamptonshire,41625,44625,48998,54248,59125,68250,81237,107375,127437,135000,138623,148748,151343,145243,149987,151162,146000,146750,155500,165500
E07000153,Kettering,38875,41125,43862,47712,53812,61375,72612,90818,113125,120500,126000,135875,139152,129993,129375,127437,125250,130500,139500,150125
E07000154,Northampton,42500,46375,51750,55623,63497,73500,84750,103250,121112,128593,133375,141500,143750,131500,134500,133500,136125,138125,147498,158418
E07000155,South Northamptonshire,61000,65750,75750,84843,98000,113750,131368,156562,174375,184931,191000,211750,215625,197000,206625,211687,213250,214250,226562,248000
E07000156,Wellingborough,38531,41319,44250,49250,56112,62990,76250,91250,111500,123625,127362,134500,138061,131125,134650,133312,127625,133998,138500,151000
E07000170,Ashfield,35737,36350,38281,39800,43651,45750,52089,65980,83362,94987,102000,112056,110681,101112,100000,101850,101250,100000,110500,116250
E07000171,Bassetlaw,40362,42362,42625,44558,47225,50487,58843,73381,93800,110812,118568,123712,122936,118937,122862,120937,115237,119718,123374,126750
E07000172,Broxtowe,46592,48247,50593,54231,58936,66225,78250,99425,122500,132480,130500,138237,137354,130418,130662,131312,130000,133112,137750,146137
E07000173,Gedling,46749,49131,51112,54112,58487,64612,77862,97225,116118,126993,129250,134362,130184,125312,130493,126375,127250,126224,136306,141750
E07000174,Mansfield,35100,37112,38868,39625,42125,43987,47606,57493,78050,89500,97125,104562,108737,98937,104812,100000,97375,103250,108750,115625
E07000175,Newark and Sherwood,44737,47712,49850,51612,54487,58931,67725,87931,112300,125000,126675,134250,140055,134937,140625,136625,139625,139525,145750,146681
E07000176,Rushcliffe,63375,67000,70425,76750,87981,103000,118725,146625,167656,181737,184806,194500,190555,183118,192175,193750,189612,194326,201250,220831
E06000019,"Herefordshire, County of",55000,57687,62000,68686,77751,87225,101750,128500,152936,166562,171125,182750,189000,177487,186606,181862,180125,182187,186625,198437
E06000051,Shropshire,54000,56843,59875,63905,70498,80625,92487,118318,141248,154000,164750,175375,180937,166750,172375,171875,166862,169750,173000,178737
E06000021,Stoke-on-Trent,30125,31612,32250,33475,35687,35987,36987,41737,57250,71362,79125,86250,89500,85500,84625,83431,85487,86906,91500,93750
E06000020,Telford and Wrekin,41606,43937,45250,48181,51237,57248,67747,84187,104086,116600,122362,129248,132000,128243,133500,129400,131181,132932,135875,136499
E07000192,Cannock Chase,44000,46375,48293,50098,53487,57973,66487,82485,102048,113237,121624,128437,130124,123247,123861,123999,123024,124750,128250,134375
E07000193,East Staffordshire,40437,44312,46750,50611,53625,56475,69112,86250,105375,121375,123750,137831,137737,131112,139243,134056,128812,138750,142493,149500
E07000194,Lichfield,57750,62237,64500,71237,77862,83862,97987,125500,146123,162875,168000,178737,184382,173875,181625,180375,178125,182000,191187,201487
E07000195,Newcastle-under-Lyme,40750,44000,45375,46987,49125,52375,58175,70475,89500,104500,115462,122486,124750,118250,121443,118250,119429,120875,123687,127050
E07000196,South Staffordshire,58362,60650,64000,69500,75111,84000,98000,125500,144862,158187,166862,175812,179672,172561,175737,173250,169875,171250,172812,182675
E07000197,Stafford,51487,55875,58737,61043,64800,70468,82737,102500,126487,140800,145750,157987,162281,151875,156118,155500,154368,157062,161937,166250
E07000198,Staffordshire Moorlands,45906,47268,49125,51625,55490,60000,69500,84250,109500,124937,131250,140237,141743,130500,136750,135750,136250,133750,139500,147725
